Date,AustraliaValues,EnglandValues,IndiaValues,ChinaValues,NewZealandValues,PhilippinesValues,SouthAfricaValues
Jan-18,1.9,3,5.07,1.5,1.6,3.4,4.3
Apr-18,1.9,2.4,4.58,1.8,1.1,4.5,4.6
Jul-18,2.1,2.5,4.17,2.1,1.5,5.7,5.2
Oct-18,1.9,2.4,3.38,2.5,1.9,6.7,5.4
Jan-19,1.8,1.8,1.97,1.7,1.9,4.4,4
Apr-19,1.3,2.1,2.99,2.5,1.5,3,4.3
Jul-19,1.6,2.1,3.15,2.8,1.7,2.4,3.9
Oct-19,1.7,1.5,4.62,3.8,1.5,0.8,3.6
Jan-20,1.8,1.8,7.59,5.4,1.9,2.9,4.6
Apr-20,2.2,0.8,7.22,3.3,2.5,1.8,3
Jul-20,0.3,1,6.73,2.7,1.5,2.4,3.2
Oct-20,0.7,0.7,7.61,0.5,1.4,2.3,3.3
Jan-21,0.9,0.7,4.06,0.3,1.4,3.7,3.2
Apr-21,1.1,1.5,4.23,0.9,1.5,4.1,4.4
Jul-21,3.8,2,5.59,1,3.3,3.7,4.7
Oct-21,3,4.2,4.48,1.5,4.9,4,5
Jan-22,3.5,5.5,6.01,0.9,5.9,3,5.7
Apr-22,5.1,9,7.79,2.1,6.9,4.9,5.9
Jul-22,6.1,10.1,6.71,2.7,7.3,6.4,7.8
Oct-22,7.3,11.1,6.77,2.1,7.2,7.7,7.6
