Date,AustraliaValues,EnglandValues,IndiaValues,ChinaValues,NewZealandValues,PhilippinesValues,SouthAfricaValues
Jan-18,5.5,4.2,6.1,5,4.5,5,26.7
Apr-18,5.5,4.2,6.3,4.9,4.4,5.26,26.7
Jul-18,5.3,4,6.5,5.4,4.5,2.46,27.2
Oct-18,5,4,6.7,4.9,4,5.4,27.5
Jan-19,5.1,3.9,6.9,5.1,4.4,5.06,27.1
Apr-19,5.2,3.8,7.4,5,4.2,5.27,27.6
Jul-19,5.3,3.9,7.3,5.3,4,5.15,29
Oct-19,5.3,3.8,8.1,5.1,4.2,5.42,29.1
Jan-20,5.3,4,7.2,5.3,4.1,4.59,29.1
Apr-20,6.3,4.1,23.5,6,4.2,5.32,30.1
Jul-20,7.5,4.9,7.4,5.7,4,17.6,23.3
Oct-20,7,5.1,7,5.3,5.3,9.96,30.8
Jan-21,6.3,5.1,6.5,5.4,4.9,8.8,32.5
Apr-21,5.4,4.9,8,5.1,4.7,8.7,32.6
Jul-21,4.7,4.4,7,5.1,4,6.9,34.4
Oct-21,5.2,4.1,7.7,4.9,3.4,7.4,34.9
Jan-22,4.2,3.8,6.6,5.3,3.2,6.4,35.3
Apr-22,3.9,3.8,7.8,6.1,3.2,5.7,34.5
Jul-22,3.5,3.5,6.8,5.4,3.3,5.2,33.9
Oct-22,3.4,3.7,7.9,5.5,3.3,4.5,32.9
